=== SHEET: AuthDelivery ===
Info,,,,Delivery,,,,,Verification,,,
Payer,Med/Rx,PBM,Which,Format,Schedule,Protocol,Destination,source,where,address,Checker,Notes
,,,,,,,,,,,,
AHC,Med,,auth,prop,Daily – 8 pm EST,sftp,,SmartUM,adls,fortify/Auth/AHC/,T023,
AHC,Med,,response,,,,,,,,,
BCBSM,Med,,auth,278 EDI,Daily - 11:59 pm ET,api,,Airflow,adls,enterprisedatalake/Auth/BCBSMI/DTR/,T026,
BCBSM,Med,,response,,,,,,adls,enterprisedatalake/Auth/BCBSMI/Response/DTR/,,
BCBSM,Rx,Optum,auth,prop,"Every 30 minutes, on hour and half",api,,Airflow,adls,enterprisedatalake/Auth/BCBSMI/PBM/,T027,
BCBSM,Rx,Optum,response,prop,With API call,,,,,,,
BlueKC,Med,,auth,,,,,,,,,
BlueKC,Med,,response,,,,,,,,,
BlueKC,Rx,Optum,auth,,,,,,,,,
BlueKC,Rx,Optum,response,,,,,,,,,
BSWHP,Med,,auth,prop,Daily at 12 am,sftp,,,sftp,/home/firstcare_health/EOD/,T008,
BSWHP,Med,,response,prop,1-2 AM,,,,,,,
Cambia,Med,,auth,,,,,,,,,
Cambia,Med,,response,,,,,,,,,
Cambia,Rx,Prime,auth,,,,,,,,,
Cambia,Rx,Prime,response,,,,,,,,,
Excellus,Med,,auth,,,,,,,,,
Excellus,Med,,response,,,,,,,,,
Excellus,Rx,,auth,,,,,,,,,
Excellus,Rx,,response,,,,,,,,,
GEHA,Med,,auth,prop,Daily- 8:30 pm EST,sftp,,Airflow,adls,fortify/Auth/GEHA/278/,"T003, 024",this is available in  adls too
GEHA,Med,,response,prop,Received within 1 hour of receipt of 278 Auths,,,Airflow,adls,fortify/Auth/GEHA/Response/278/YYYY/MM/DD,,
GEHA,Rx,CVS,auth,prop,Every 15 mins- 8am-8pm EST,sftp,,Airflow,adls,fortify/Auth/GEHA/CVS/,T025,
GEHA,Rx,CVS,response,prop,Hourly- 8am-8pm EST,,,,,,,
Geisinger,Med,,auth,txt,Daily at 9 pm?,sftp,,Airflow,adls,enterprisedatalake/Auth/GeisI/DTR/,T028,
Geisinger,Med,,response,,,,,,,,,
Geisinger,Rx,Navitus,auth,prop,Near Real Time,api,,Airflow,,enterprisedatalake/Auth/GeisI/PBM/,,
Geisinger,Rx,Navitus,response,,,,,,,enterprisedatalake/Auth/GeisI/PBM/,,
Devoted,Med,,auth,prop,Daily @0300 ,sftp,,SmartUM,adls,fortify/Auth/DHP/,T029,
Devoted,Med,,response,prop,daily 9pm,,,,sftp,/home/devoted_healthcare/Prod/AuthFiles/Responses ,,
Highmark,Med,,auth,prop,,sftp,,Airflow,adls,enterprisedatalake/Auth/GHP,T030,
Highmark,Med,,response,prop,,,,Airflow,,,,
Highmark,Rx,,auth,prop,checks every 15 minutes,,,Mirth,sftp,/home/gateway_health/gateway_health/Prod/Archive,T022,
Highmark,Rx,,response,prop,Daily 7am,,,Mirth,sftp,/home/gateway_health/gateway_health/Prod/AuthFiles/Response,,
Highmark,Rx,,error,prop,Daily 7am,,,Mirth,sftp,/home/gateway_health/gateway_health/Prod/AuthFiles/Response,,
Humana,Med,,auth,fhir,,api,,SmartUM,adls,Auth/Humana/RT,,"*nested folders for each year, month, and day"
Humana,Med,,response,fhir,,api,,,,,,
HP,Med,,auth,prop,15 minute increments,sftp,,Fn App,sftp,/home/health_partners/health_partners/Prod/Archive,T004,Need to add a check for non-empty files
HP,Med,,response,txt,15 minute increments,,,,sftp,/home/health_partners/health_partners/Prod/AuthFiles/Response,,
P32 (Comm),Med,,auth,prop,Daily 9pm,sftp,,Mirth,sftp,/home /harvardpilgrim_healthcare/Prod/Archive,"T007, 020",
P32 (Comm),Med,,response,prop,,,,Mirth,,,,
P32 (Med),Med,,auth,,,,,,,,,
P32 (Med),Med,,response,,,,,,,,,
