=== SHEET: ADO raw data ===
Category (functional area),Request title,Request Description,Request Type,Health Plan,Date Created,State, , , , , , , , , , , , , , , , , , , 
Other,Eligibility: Integration to MATIS,AS A CRS Provider I WANT to check Eligibility for selected Patient SO THAT I know whether Patient is eligible.,Customization,SSS,8/28/2018 1:03:02 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Eligibility: Return patient's coverage info,AS A OA User I WANT to have API SO THAT I can get information about patient s coverage,Customization,SSS,8/28/2018 3:10:31 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility S&W: ETL to local DB and check integration with MATIS,style AS A OA User I WANT to have ETL for parsing file with Patient s Eligibility status SO THAT Patient s Eligibility status is stored in the data base.,Customization,SWHP,8/28/2018 3:33:11 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Configure Test environment for eligibility service - Dev/Test,,Standard,,9/6/2018 4:12:18 PM,Closed,,,,,,,,,,,,,,,,,,,
Data De-identification,Provide sample (De-identified) eligibility files to SS team,,Standard,,9/6/2018 4:13:01 PM,Closed,,,,,,,,,,,,,,,,,,,
Data De-identification,SPIKE: create a proof of concept using Redgate data masker tool to create de-identfied eligibility file,AS A development team I WANT to have full de identfied eligibility files available SO THAT we can properly test our eligibility ETL w out exposing PHI,Standard,,9/6/2018 5:32:00 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Configure environment for eligibility service - Prod,,Standard,,9/13/2018 2:39:11 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Create a Standard Eligibility Record Import Log File,"AS A Director of Engineering I WANT To create and a Standard Eligibility Record import log file To send the log file to the payer and OA resources SO THAT the payer can track reconcile the member eligibility records being sent to OA. OA can track the member eligibility records imported into the system. font face quot Segoe UI quot ,sans serif font style margin 0px color rgb 34, 34, 34 font family quot Segoe UI quot ,sans serif style margin 0px line height normal style margin 0px 0px 8px 24px line height normal text indent 0.25in style margin 0px line height normal b b i i u u sub sub sup sup strike strike font color 000000 font font face Times New Roman font b b i i u u sub sub sup sup strike strike b b b b i i u u sub sub sup sup strike strike style margin 0px line height normal text indent 0.25in",Standard,,9/18/2018 5:36:01 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Modify the Member Standard Eligibility File,"AS A Director of Engineering I WANT TO style margin 0px color rgb 34, 34, 34 line height 107 font family quot Segoe UI quot ,sans serif font size 10.5pt add new and change existing fields on the inbound standard eligibility record file b b i i u u sub sub sup sup strike strike SO THAT the required the data will reside in the system to accommodate the member directory enhancement. b b i i u u sub sub sup sup strike strike style margin 0px line height normal text indent 0.25in font face Symbol size 2 font",Standard,,9/18/2018 5:58:31 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Show the message 'Availity is current offline. This approval is based on Humana's eligibility file dated... We recommend that you re-confirm eligibility' in MATIS in case Availity is in failover state,AS A CRS MD I WANT to see appropriate message in case Availity is not available SO THAT the Eligibility can be checked against the Eligibility DB.,Customization,HUMANA,9/25/2018 11:31:56 AM,New,,,,,,,,,,,,,,,,,,,
