=== SHEET: OneUM_CRS_Intake_Assignment ===
Workflow Steps,Page / URL,Purpose,Key tasks,Key fields (required/derived),Entry points,Linked screens,Attachments/letters,Code ref (route → container),APIs fired (observed),UI
Login,Login / Landing (/login),Authenticate & route to tenant/plan,SSO sign-in,—,Direct link/SSO,Welcome / Plan Selector (/welcome),—,,—,
,Welcome / Plan Selector (#/home_page.html),Let user choose the member’s health plan to start a PA.,Open Select Insurance Provider → pick plan → Continue.,Insurance Provider (required); no derived fields on this page.,Direct URL/SSO landing → Plan Selector,Login / Select Account (role picker),—,#/home_page.html → div#client-main-container.main-container > div.globalcontainer > div#canvascontainer.canvascontainer > div.canvasframe > canvas#canvas,"Auth/SSO: fetch /authn, fetch /verify?rememberDevice=false, fetch /verify (×2), fetch /token, fetch /userinfo, xhr ?format=json, xhr LoginWithOkta · Static/analytics: xhr collect?v=…, fetch content.css",
,Login / Select Account (/Account/Login),Pick a user account/role for this session after choosing plan.,Open Select Account dropdown → choose role → Submit,"Account (required) — list of user accounts/roles (e.g.,crs, rn,pharmd,md, admin).",From Plan Selector → Continue,On success → Home (post-login),—,"/Account/Login → <body class=""login""> > div.container (from Inspect: body.login, div.container, div.logo).","User-role: GET GetApplicationVersionAndIdleTime…, GET GetUserProfile, GET featureFlags (×2), GET GetReportActions, GET IsRN/?user=1, GET contractedpayers, GET GetAlertNotification",
,Home (Post-Login Landing) (/home_page.html),Orient user & provide navigation,Read announcements; click Start a Prior Authorization,—,Login/Welcome,Patient Search; Dashboards & Queues,—,Key links below the fold,Pin “Start PA” CTA; collapse announcements,
Patient Search,Start Prior Authorization — Find Patient (no results) #/start-prior-auth.html,Search for a member; handle zero-result state,Enter Insurance Provider* + DOB* + (Member ID or First/Last ≥3 chars); Search; if 0 results → New Patient,"Insurance provider* (dropdown), DOB* (picker), Member ID, First, Last; results grid columns: Patient name · DOB · Member ID · Insurance provider · Group ID",Left nav → Start a Prior Authorization,New Patient (collapsed pane),—,#/start-prior-auth.html → StartPAWorkspace (Search btn handler: onSearchMemberId_Blur(true)),GET CheckUserPermission?PageURL=/start-prior-auth.html; GET GetFormLookupDataAddEditPatient/; GET can_override_eligibility; GET DoesPayerSupportDelegation?...; GET SearchDiagnosisWithoutAncillariesOn...,
,Start Prior Authorization — Patient found  #/start-prior-auth.html,Show prefilled Patient Information,Review/confirm; Save & Continue / Reset; optional Override Eligibility,"Prefilled: Insurance Provider*, Member ID*, First*, Last*, Gender, DOB*; header banner shows LAST, FIRST · DOB · MemberID",From successful Search (above),—,Document list visible below,#/start-prior-auth.html → StartPAWorkspace (Save: SavePatientInformation(true)),"
GET /AssignProtocol/VerifyPatientEligibilityOnPatient?PatientId=<id>&CurrentMID=<mid>&InsuranceProviderId=<id> · GET SearchPatientCriteria?... · GET GetAllDocumentTypesOnAddEditPatient?… · GET GetClinicalTrialLinkByPatientDiagnosisId?… · GET DiagnosisLinks/?diagnosisId=… · GET GetStageByDiagnosisIdOnAddEditPatient?… · GET GetICDCodesByDiagnosisIdOnPatient?… · GET GetFilteredProductLine/?LOBID=… · GET CurrentMDName/?CurrentMID=…",
Request Type Assignment,"Post-Save Options (Information modal) (same route, modal overlay)",Choose next step,Assign Chemo / Assign Radiation / Assign Test / Edit Patient / Add New Patient / Home,Patient context (derived),After Save & Continue,Chemo / Radiation / Test,—,#/start-prior-auth.html → PostSaveOptionsModal,— (UI modal),
,Protocol Assignment — Chemotherapy #/assign_protocol.html?loadID=<id>&PatientClinicalDecisionSupportID=0,Complete chemo request,"New vs Re-Auth; flags (Part D?, Clinical Trial?); set UoM; enter Height/Weight → BSA; pick Assign Main Protocol (AUTO/NON-AUTO); Assign Protocol to Patient / Save Details Only","Grid: Drug Code (Select NDC…), Billing Method, Drug Name, Route, Dose, Frequency, Admin per Cycle (days), Qty/Cycle/Auth, Cycles·Length, Billing Units (BU), NDC",Post-Save modal → Assign Chemo,Provider lookup; (eligibility history available elsewhere),"Attach Additional Document (Type req) + list (File, OA Ref #, Type, Date/Time, By, Status, Doctor, Downloads)",#/assign_protocol.html → ProtocolAssignmentContainer(Chemo) · UI actions: SavePatientandAssignProtocol(true) (Assign) / SavePatientandAssignProtocol(false) (Save only),GET /AssignProtocol/VerifyPatientEligibilityOnPatient?...; GET GetAssignmentHeightAndWeight/?patientId=…; GET CalculateBSA/?Feet=…&Inches=…&Weight=…; GET GetProtocolElementsByPId?id=…; GET GetAllProtocolQuestions?ProtocolId=…; GET GetProtocolQuestionAnswers?…; GET GetProviderLookups/?InsuranceProviderId=…; GET DoesAnyDrugSupportCarT/; GET Discont_Of_Auth_AssignmentPopup…; GET GetProvidersByPatientProtocolAssignment…; GET GetProviderInfo?taxId=,
,Treatment Assignment — Radiation #/assign_treatment.html?loadID=<id>&PatientClinicalDecisionSupportID=0,Complete  radiation request,New vs Re-Auth; (opt) Reconsideration + Original Denied Case Ref #; Radiotherapy Technique*; Total Dose (Gy); Number of Fractions; Radiotherapy Protocol*; Attach,Requireds marked with *; patient banner fixed,Post-Save modal → Assign Radiation,—,Attach Medical Records: Select Document Type + Attach,#/assign_treatment.html → ProtocolAssignmentContainer(Radiation),GET GetApplicationVersionAndIdleTime…; GET CheckUserPermission?PageURL=/assign_treatment.html; GET GetMedicalRecordTypeCodes; GET GetFormLookupData/ & GET GetFormLookupData/?xrt=xrt; GET SearchDiagnosisWithoutAncillariesOn…; GET /AssignProtocol/VerifyPatientEligibilityOnPatient?...; GET GetPatientLatestAssignedProtocol?…; GET GetPatientCurrentMD/?CurrentMID=…; GET GetLookupByInsuranceProviderTreatment…; GET GetProviderLookups/?InsuranceProviderId=…; GET GetAllDiagnosisConfigurations?Stage…; GET GetAllDocumentTypes / GetAllDocuments?PatientId=… / GetOAStaffNotes?… / GetPatientNotes?…; GET GetPayerAddressByPayerId/?payerId=…; GET GetProviderInfo?taxId=…; GET GetProtocolElementXRT?…; GET GetAssignmentQuestionAnswerXRT?…; GET SearchGroupedXRTWithFilters?…; GET SearchGroupedBoostXRT?,
,Test Assignment — Diagnostic #/assign_test.html?loadID=<id>&PatientClinicalDecisionSupportID=0,Complete test request,Verify Eligibility; select test(s); Edit Patient Info/Diagnosis/Stage; View Eligibility History; Attach,"Patient banner (Name, DOB, MemberID); eligibility chip (e.g., Not Eligible!)",Left nav → Assign Test (or Post-Save modal),"Edit Patient Info/Diagnosis/Stage, View Eligibility History",Upload section present (doc types + attach); letters not on this page,#/assign_test.html → ProtocolAssignmentContainer(Test),GET GetApplicationVersionAndIdleTime…; GET CheckUserPermission?PageURL=/assign_test.html; GET GetMedicalRecordTypeCodes; GET GetFormLookupData/; GET SearchDiagnosisWithoutAncillariesOn…; GET /AssignProtocol/VerifyPatientEligibilityOnPatient?...; GET GetPatientLatestAssignedProtocol?…; GET GetPatientAssignedProtocolHistory?…; GET GetPatientCurrentMD/?CurrentMID=…; GET GetAllDocumentTypes / GetAllDocuments?PatientId=…; GET GetOAStaffNotes?… / GetPatientNotes?…; GET GetPayerAddressByPayerId/?payerId=…; GET GetProviderInfo/?taxId=…; GET searchGroupedMGT/?searchTerm=,
